CREATION_DATE,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,LAUNCH_DATE,DECAY_DATE
2021-08-17T16:26:09,STARLINK-1025,2019-074T,EARTH,TEME,UTC,SGP4,2021-08-16T01:41:34.898784,16.34730305,0.0017884,53.0025,74.0491,283.4374,221.2305,0,9818,0.0050012,0.40169601,1.2289e-05,6557.995,88.088,191.589,168.132,PAYLOAD,2019-11-11,2021-08-17
2023-05-08T14:36:13,STARLINK-1026,2019-074U,EARTH,TEME,UTC,SGP4,2023-05-08T08:20:53.257632,15.06392723,0.0001297,53.0524,158.9316,91.5768,268.537,0,19271,4.54e-06,-2.14e-06,0.0,6925.371,95.593,548.134,546.338,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1027,2019-074V,EARTH,TEME,UTC,SGP4,2023-05-08T09:37:51.263328,15.06388712,0.0001207,53.0508,178.6909,96.371,263.7417,0,19244,-0.00012553,-2.15e-05,0.0,6925.383,95.593,548.084,546.412,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1028,2019-074W,EARTH,TEME,UTC,SGP4,2023-05-08T09:35:12.348672,15.06384374,0.0001167,53.0516,158.7045,77.5683,282.5436,0,19272,-5.9564e-05,-1.168e-05,0.0,6925.396,95.593,548.07,546.453,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1029,2019-074X,EARTH,TEME,UTC,SGP4,2023-05-08T03:34:16.863456,15.06385356,0.00011,53.0545,79.8315,97.279,262.8323,0,19378,-0.00028878,-4.578e-05,0.0,6925.393,95.593,548.02,546.497,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1030,2019-074Y,EARTH,TEME,UTC,SGP4,2023-05-08T09:48:27.939744,15.063912,0.0001256,53.0523,178.6651,82.9272,277.186,0,19244,0.00031956,4.48e-05,0.0,6925.376,95.593,548.11,546.371,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1031,2019-074Z,EARTH,TEME,UTC,SGP4,2023-05-08T10:09:41.602752,15.06401308,0.0001133,53.0518,178.5936,84.4255,275.6863,0,19245,0.00054789,7.889e-05,0.0,6925.345,95.592,547.994,546.425,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1032,2019-074AA,EARTH,TEME,UTC,SGP4,2023-05-08T10:25:37.251552,15.06396732,0.0001344,53.0525,178.5464,77.0991,283.0148,0,19245,0.00039888,5.664e-05,0.0,6925.359,95.592,548.154,546.293,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1033,2019-074AB,EARTH,TEME,UTC,SGP4,2023-05-08T06:00:00.999648,15.3036297,0.0001328,53.0562,176.9496,87.6451,242.6803,0,19245,0.030693,0.00991855,0.0,6852.866,94.095,475.641,473.82,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1034,2019-074AC,EARTH,TEME,UTC,SGP4,2023-05-08T04:08:54.259008,15.48608013,0.0012562,52.956,124.4853,39.6755,320.5168,0,19310,0.0018481,0.00101452,0.0,6798.934,92.987,429.34,412.258,PAYLOAD,2019-11-11,
